순위,곡명,가수명
1,Love Lee,AKMU (악뮤)
2,You & Me,제니 (JENNIE)
3,후라이의 꿈,AKMU (악뮤)
4,Either Way,IVE (아이브)
5,Seven (feat. Latto) - Clean Ver.,정국
6,음악의 신,세븐틴 (SEVENTEEN)
7,Baddie,IVE (아이브)
8,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지"
9,Do or Die,임영웅
10,사랑은 늘 도망가,임영웅
11,ETA,NewJeans
12,Fast Forward,전소미
13,모래 알갱이,임영웅
14,우리들의 블루스,임영웅
15,Super Shy,NewJeans
16,헤어지자 말해요,박재정
17,다시 만날 수 있을까,임영웅
18,I Love My Body,화사 (HWASA)
19,사막에서 꽃을 피우듯,우디 (Woody)
20,이제 나만 믿어요,임영웅
21,무지개,임영웅
22,I AM,IVE (아이브)
23,London Boy,임영웅
24,Polaroid,임영웅
25,아버지,임영웅
26,잠시라도 우리,"성시경, 나얼"
27,인생찬가,임영웅
28,손오공,세븐틴 (SEVENTEEN)
29,A bientot,임영웅
30,Get A Guitar,RIIZE
31,Bubble,STAYC(스테이씨)
32,퀸카 (Queencard),(여자)아이들
33,Off The Record,IVE (아이브)
34,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
35,Hype Boy,NewJeans
36,연애편지,임영웅
37,Still With You,정국
38,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
39,Ditto,NewJeans
40,SOS (Prod. Marshmello),세븐틴 (SEVENTEEN)
41,Spicy,aespa
42,3D (feat. Jack Harlow),정국
43,Steal The Show (From “엘리멘탈”),Lauv
44,Kitsch,IVE (아이브)
45,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
46,너의 모든 순간,성시경
47,Diamond Days,세븐틴 (SEVENTEEN)
48,Monster,세븐틴 (SEVENTEEN)
49,Dynamite,방탄소년단
50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
51,Back 2 Back,세븐틴 (SEVENTEEN)
52,I Don't Think That I Like Her,Charlie Puth
53,Love Me Again,V
54,하품,세븐틴 (SEVENTEEN)
55,사건의 지평선,윤하 (YOUNHA)
56,사랑인가 봐,멜로망스
57,After LIKE,IVE (아이브)
58,Headliner,세븐틴 (SEVENTEEN)
59,LOVE DIVE,IVE (아이브)
60,Summer (Feat. BE’O (비오)),Paul Blanco
61,CAKE,ITZY (있지)
62,OMG,NewJeans
63,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
64,별 떨어진다 (I Do),디오 (D.O.)
65,심(心),DK(디셈버)
66,Dangerously,Charlie Puth
67,사랑하지 않아서 그랬어,임한별
68,Butter,방탄소년단
69,Fact Check (불가사의; 不可思議),NCT 127
70,봄날,방탄소년단
71,Attention,NewJeans
72,Slow Dancing,V
73,나에게 그대만이,탑현
74,물론,허각
75,취중고백,김민석 (멜로망스)
76,Chili,화사 (HWASA)
77,주저하는 연인들을 위해,잔나비
78,New Jeans,NewJeans
79,KIDDING,이세계아이돌
80,다정히 내 이름을 부르면,"경서예지, 전건호"
81,Chasing That Feeling,투모로우바이투게더
82,Like Crazy,지민
83,꽃,지수 (JISOO)
84,Baggy Jeans,NCT U
85,Vancouver 2,BIG Naughty (서동현)
86,해요 (2022),#안녕
87,STAY,"The Kid LAROI, Justin Bieber"
88,사람 Pt.2 (feat. 아이유),Agust D
89,I WANT,IVE (아이브)
90,Teddy Bear,STAYC(스테이씨)
91,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
92,폼미쳤다,영탁
93,미친 사랑의 노래,"김연지, DK(디셈버)"
94,그중에 그대를 만나,김호중
95,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
96,Somebody,디오 (D.O.)
97,사랑..그게 뭔데,지아
98,Take Two,방탄소년단
99,ANTIFRAGILE,LE SSERAFIM (르세라핌)
100,TOO MUCH,"The Kid LAROI, 정국, Central Cee"
